        Frequency / GHz                S1,1/abs,dB
                  1.1993                      -17.128816
                  1.2002                      -17.124999
                  1.2011                      -17.121189
                   1.202                      -17.117385
                  1.2029                      -17.113589
                  1.2038                        -17.1098
                  1.2047                      -17.106018
                  1.2056                      -17.102243
                  1.2065                      -17.098475
                  1.2074                      -17.094713
                  1.2083                      -17.090958
