        Frequency / GHz                S1,1/abs,dB
                  0.8087                      -4.0661736
                  0.8096                      -4.0636196
                  0.8105                      -4.0610745
                  0.8114                      -4.0585383
                  0.8123                      -4.0560112
                  0.8132                      -4.0534931
                  0.8141                      -4.0509839
                   0.815                      -4.0484836
                  0.8159                      -4.0459918
                  0.8168                       -4.043509
                  0.8177                      -4.0410351
                  0.8186                      -4.0385698
                  0.8195                      -4.0361132
                  0.8204                       -4.033665
                  0.8213                      -4.0312256
                  0.8222                      -4.0287949
                  0.8231                      -4.0263727
                   0.824                       -4.023959
                  0.8249                      -4.0215535
                  0.8258                      -4.0191567
                  0.8267                      -4.0167683
                  0.8276                      -4.0143883
                  0.8285                      -4.0120166
                  0.8294                      -4.0096531
                  0.8303                       -4.007298
                  0.8312                      -4.0049511
                  0.8321                      -4.0026126
                   0.833                      -4.0002821
                  0.8339                      -3.9979597
                  0.8348                      -3.9956455
                  0.8357                      -3.9933394
                  0.8366                      -3.9910415
                  0.8375                      -3.9887515
                  0.8384                      -3.9864694
                  0.8393                      -3.9841954
                  0.8402                      -3.9819295
                  0.8411                      -3.9796714
                   0.842                      -3.9774213
                  0.8429                      -3.9751789
                  0.8438                      -3.9729444
                  0.8447                      -3.9707179
                  0.8456                      -3.9684991
                  0.8465                      -3.9662881
                  0.8474                      -3.9640847
                  0.8483                      -3.9618892
                  0.8492                      -3.9597015
                  0.8501                      -3.9575215
                   0.851                      -3.9553492
                  0.8519                      -3.9531843
                  0.8528                      -3.9510273
                  0.8537                      -3.9488779
                  0.8546                      -3.9467362
                  0.8555                       -3.944602
                  0.8564                      -3.9424753
                  0.8573                      -3.9403562
                  0.8582                      -3.9382449
                  0.8591                       -3.936141
                    0.86                      -3.9340447
                  0.8609                      -3.9319558
                  0.8618                      -3.9298746
                  0.8627                      -3.9278009
                  0.8636                      -3.9257348
                  0.8645                      -3.9236762
                  0.8654                       -3.921625
                  0.8663                      -3.9195814
                  0.8672                      -3.9175453
                  0.8681                      -3.9155169
                   0.869                      -3.9134959
                  0.8699                      -3.9114823
                  0.8708                      -3.9094763
                  0.8717                       -3.907478
                  0.8726                      -3.9054872
                  0.8735                       -3.903504
                  0.8744                      -3.9015282
                  0.8753                      -3.8995601
                  0.8762                      -3.8975997
                  0.8771                      -3.8956469
                   0.878                      -3.8937017
                  0.8789                       -3.891764
                  0.8798                      -3.8898341
                  0.8807                       -3.887912
                  0.8816                      -3.8859976
                  0.8825                      -3.8840909
                  0.8834                      -3.8821919
                  0.8843                      -3.8803007
                  0.8852                      -3.8784174
                  0.8861                       -3.876542
                   0.887                      -3.8746745
                  0.8879                      -3.8728147
                  0.8888                      -3.8709629
                  0.8897                      -3.8691192
                  0.8906                      -3.8672835
                  0.8915                      -3.8654559
                  0.8924                      -3.8636361
                  0.8933                      -3.8618246
                  0.8942                      -3.8600213
                  0.8951                      -3.8582262
                   0.896                      -3.8564392
                  0.8969                      -3.8546604
                  0.8978                        -3.85289
                  0.8987                       -3.851128
                  0.8996                      -3.8493744
                  0.9005                      -3.8476291
                  0.9014                      -3.8458922
                  0.9023                      -3.8441638
                  0.9032                      -3.8424441
                  0.9041                      -3.8407329
                   0.905                      -3.8390302
                  0.9059                      -3.8373361
                  0.9068                      -3.8356507
                  0.9077                       -3.833974
                  0.9086                      -3.8323061
                  0.9095                       -3.830647
                  0.9104                      -3.8289964
                  0.9113                      -3.8273548
                  0.9122                      -3.8257221
                  0.9131                      -3.8240983
                   0.914                      -3.8224833
                  0.9149                       -3.820877
                  0.9158                      -3.8192799
                  0.9167                      -3.8176917
                  0.9176                      -3.8161125
                  0.9185                      -3.8145422
                  0.9194                      -3.8129807
                  0.9203                      -3.8114284
                  0.9212                      -3.8098851
                  0.9221                      -3.8083509
                   0.923                      -3.8068255
                  0.9239                      -3.8053091
                  0.9248                      -3.8038018
                  0.9257                      -3.8023035
                  0.9266                      -3.8008142
                  0.9275                      -3.7993338
                  0.9284                      -3.7978623
                  0.9293                      -3.7963998
                  0.9302                      -3.7949463
                  0.9311                      -3.7935017
                   0.932                      -3.7920659
                  0.9329                      -3.7906389
                  0.9338                      -3.7892207
                  0.9347                      -3.7878115
                  0.9356                       -3.786411
                  0.9365                      -3.7850192
                  0.9374                      -3.7836359
                  0.9383                      -3.7822614
                  0.9392                      -3.7808955
                  0.9401                      -3.7795382
                   0.941                      -3.7781894
                  0.9419                       -3.776849
                  0.9428                       -3.775517
                  0.9437                      -3.7741935
                  0.9446                      -3.7728783
                  0.9455                      -3.7715713
                  0.9464                      -3.7702725
                  0.9473                      -3.7689818
                  0.9482                      -3.7676994
                  0.9491                      -3.7664249
                    0.95                      -3.7651585
                  0.9509                      -3.7638998
                  0.9518                      -3.7626491
                  0.9527                      -3.7614062
                  0.9536                      -3.7601711
                  0.9545                      -3.7589437
                  0.9554                      -3.7577237
                  0.9563                      -3.7565114
                  0.9572                      -3.7553067
                  0.9581                      -3.7541094
                   0.959                      -3.7529194
                  0.9599                      -3.7517366
                  0.9608                      -3.7505612
                  0.9617                       -3.749393
                  0.9626                      -3.7482319
                  0.9635                      -3.7470779
                  0.9644                      -3.7459307
                  0.9653                      -3.7447906
                  0.9662                      -3.7436575
                  0.9671                      -3.7425311
                   0.968                      -3.7414116
                  0.9689                      -3.7402985
                  0.9698                      -3.7391923
                  0.9707                      -3.7380927
                  0.9716                      -3.7369997
                  0.9725                      -3.7359131
                  0.9734                      -3.7348328
                  0.9743                       -3.733759
                  0.9752                      -3.7326916
                  0.9761                      -3.7316305
                   0.977                      -3.7305756
                  0.9779                      -3.7295267
                  0.9788                      -3.7284841
                  0.9797                      -3.7274476
                  0.9806                      -3.7264172
                  0.9815                      -3.7253927
                  0.9824                       -3.724374
                  0.9833                      -3.7233614
                  0.9842                      -3.7223546
                  0.9851                      -3.7213537
                   0.986                      -3.7203586
                  0.9869                       -3.719369
                  0.9878                      -3.7183852
                  0.9887                      -3.7174072
                  0.9896                      -3.7164348
                  0.9905                      -3.7154679
                  0.9914                      -3.7145065
                  0.9923                      -3.7135506
                  0.9932                      -3.7126003
                  0.9941                      -3.7116555
                   0.995                       -3.710716
                  0.9959                      -3.7097818
                  0.9968                      -3.7088531
                  0.9977                      -3.7079297
                  0.9986                      -3.7070116
                  0.9995                      -3.7060987
                  1.0004                      -3.7051909
                  1.0013                      -3.7042884
                  1.0022                      -3.7033912
                  1.0031                      -3.7024991
                   1.004                      -3.7016121
                  1.0049                      -3.7007301
                  1.0058                      -3.6998532
                  1.0067                      -3.6989814
                  1.0076                      -3.6981146
                  1.0085                      -3.6972529
                  1.0094                      -3.6963959
                  1.0103                       -3.695544
                  1.0112                      -3.6946971
                  1.0121                      -3.6938551
                   1.013                      -3.6930179
                  1.0139                      -3.6921855
                  1.0148                       -3.691358
                  1.0157                      -3.6905353
                  1.0166                      -3.6897175
                  1.0175                      -3.6889044
                  1.0184                       -3.688096
                  1.0193                      -3.6872924
                  1.0202                      -3.6864936
                  1.0211                      -3.6856995
                   1.022                        -3.68491
                  1.0229                      -3.6841251
                  1.0238                      -3.6833449
                  1.0247                      -3.6825694
                  1.0256                      -3.6817985
                  1.0265                      -3.6810322
                  1.0274                      -3.6802703
                  1.0283                      -3.6795132
                  1.0292                      -3.6787606
                  1.0301                      -3.6780125
                   1.031                      -3.6772689
                  1.0319                      -3.6765297
                  1.0328                      -3.6757951
                  1.0337                       -3.675065
                  1.0346                      -3.6743394
                  1.0355                      -3.6736182
                  1.0364                      -3.6729012
                  1.0373                      -3.6721888
                  1.0382                      -3.6714808
                  1.0391                      -3.6707773
                    1.04                       -3.670078
                  1.0409                       -3.669383
                  1.0418                      -3.6686924
                  1.0427                      -3.6680062
                  1.0436                      -3.6673243
                  1.0445                      -3.6666467
                  1.0454                      -3.6659732
                  1.0463                      -3.6653041
                  1.0472                      -3.6646394
                  1.0481                      -3.6639788
                   1.049                      -3.6633225
                  1.0499                      -3.6626703
                  1.0508                      -3.6620224
                  1.0517                      -3.6613787
                  1.0526                      -3.6607392
                  1.0535                      -3.6601039
                  1.0544                      -3.6594726
                  1.0553                      -3.6588455
                  1.0562                      -3.6582227
                  1.0571                      -3.6576039
                   1.058                      -3.6569893
                  1.0589                      -3.6563786
                  1.0598                      -3.6557721
                  1.0607                      -3.6551697
                  1.0616                      -3.6545715
                  1.0625                      -3.6539772
                  1.0634                      -3.6533868
                  1.0643                      -3.6528006
                  1.0652                      -3.6522185
                  1.0661                      -3.6516404
                   1.067                      -3.6510663
                  1.0679                       -3.650496
                  1.0688                      -3.6499298
                  1.0697                      -3.6493676
                  1.0706                      -3.6488094
                  1.0715                      -3.6482551
                  1.0724                      -3.6477046
                  1.0733                      -3.6471582
                  1.0742                      -3.6466157
                  1.0751                      -3.6460772
                   1.076                      -3.6455425
                  1.0769                      -3.6450116
                  1.0778                      -3.6444847
                  1.0787                      -3.6439616
                  1.0796                      -3.6434425
